year,total_violations,light_violations,share_percent
1972,49265,34,0.06901451334618898
1973,224678,124,0.05519009426824166
1974,313436,142,0.045304304547020766
1975,375192,182,0.048508496982878097
1976,324424,143,0.04407811999112273
1977,181272,97,0.05351074628183062
1978,150500,75,0.04983388704318937
1979,156341,94,0.060124983209778625
1980,159721,73,0.045704697566381375
1981,132817,54,0.04065744595947808
1982,174660,65,0.03721516088400321
1983,235472,80,0.03397431541754434
1984,236024,73,0.03092905806189201
1985,258811,110,0.04250205748596466
1986,286243,116,0.040525008471822895
1987,305017,129,0.0422927246678054
1988,328085,100,0.030479906121889146
1989,388315,109,0.02806999472078081
1990,430463,136,0.03159388844105068
1991,429972,86,0.020001302410389513
1992,401919,114,0.02836392407425377
1993,372474,88,0.02362581012365964
1994,375334,75,0.019982202518290377
1995,295374,40,0.013542153337802244
1996,249808,61,0.024418753602766925
1997,287757,49,0.017028256480294136
1998,274955,56,0.020366969140404794
1999,273377,68,0.02487407499533611
2000,274757,75,0.027296847760020674
2001,275250,50,0.018165304268846504
2002,283882,48,0.016908433785868777
2003,280467,691,0.24637479632184892
2004,276325,1400,0.506649778340722
2005,263795,1522,0.5769631721602002
2006,269687,1693,0.6277647791699266
2007,267561,1825,0.6820874492171879
2008,264509,1839,0.6952504451644368
2009,267301,2004,0.7497166116101324
2010,261909,1893,0.7227701224471095
2011,242119,1898,0.783912043251459
2012,227714,1692,0.7430373187419307
2013,220770,1734,0.7854328033700231
2014,200111,1405,0.702110328767534
2015,183994,1299,0.7060012826505212
2016,176874,1047,0.5919468095932698
2017,170427,1002,0.5879350102976642
2018,164906,906,0.5494039028294907
2019,167698,970,0.5784207325072451
2020,110259,564,0.5115228688814518
2021,114141,601,0.5265417334700064
2022,128625,754,0.5862001943634597
2023,146394,868,0.5929204748828504
2024,142178,839,0.5901053608856504
2025,114524,596,0.5204149348608152
