year,n_violations,total_penalty
1972,1273,11650.0
1973,6213,54580.0
1974,10558,62323.0
1975,13122,60250.0
1976,9695,60632.0
1977,4716,41806.0
1978,3257,61775.0
1979,2972,76085.0
1980,2322,67070.0
1981,1749,30860.0
1982,2083,13890.0
1983,2607,21389.0
1984,2312,25907.0
1985,2551,31945.0
1986,3571,43579.0
1987,3481,393534.9
1988,3775,178034.0
1989,3968,220347.27000000002
1990,3673,369602.0
1991,4105,1290937.0
1992,5466,2494517.81
1993,5500,1983407.5
1994,5273,2109187.0
1995,3868,1228382.0
1996,3220,924927.5
1997,3401,1127240.76
1998,2870,933644.25
1999,2675,1085273.5
2000,2663,1223820.75
2001,2539,1054486.25
2002,2618,1061618.0
2003,2908,1105541.25
2004,3102,1330307.0
2005,2883,953662.0
2006,3002,994713.5
2007,3136,1236554.5
2008,3021,1372426.0
2009,3302,1373321.0
2010,3201,2230460.5
2011,3070,2707318.5
2012,2826,2375891.56
2013,2928,3436944.0
2014,2445,2876974.5
2015,2335,4202272.0
2016,1988,3993998.0
2017,1798,3947718.5
2018,1644,4072112.0
2019,1684,5505926.0
2020,1000,5259325.0
2021,1053,3262142.0
2022,1438,8202300.2
2023,1738,11567131.0
2024,1558,5852506.96
2025,1088,2774960.1
